day;month;hours;precipitation;temperature;irradiance_surface;irradiance_toa;snowfall;snow_mass;cloud_cover;air_density;Forecast load (MW);Actual load (MW);Positive imbalance price (Eur/MWh);Negative imbalance price (Eur/MWh)
1;1;0;0.0349;7.196;0;0;0;0;0.997;1.2738;12390.75;11284.75;14.5;38.9
1;1;1;0.0373;7.278;0;0;0;0;0.9981;1.273;11810;11193.75;0;36.48
1;1;2;0.0459;7.364;0;0;0;0;0.9973;1.272;11410.5;10933.25;29.3;34.19
1;1;3;0.0528;7.415;0;0;0;0;0.9907;1.2711;11309;10666.75;21.66;27.21
1;1;4;0.0628;7.503;0;0;0;0;0.9665;1.2699;11420.25;10413.25;0;30.57
1;1;5;0.0787;7.598;0;0;0;0;0.9362;1.2689;11881.25;10440.75;0;26.54
1;1;6;0.0939;7.749;0;0;0;0;0.877;1.268;13031.5;10669.5;0;37.41
1;1;7;0.0874;7.821;0.0254;2.1616;0;0;0.7731;1.2676;14994.75;10898.5;0;32.59
1;1;8;0.0702;7.814;13.7558;103.3919;0;0;0.6477;1.2677;16635.25;11161;0;-3.96
1;1;9;0.0476;7.941;59.6323;234.4355;0;0;0.472;1.2678;17154.5;11463.25;65.77;3.94
1;1;10;0.0271;8.231;127.8297;319.7781;0;0;0.2846;1.2675;17062.5;11837.25;198.01;0
1;1;11;0.0204;8.493;173.1579;353.6071;0;0;0.1727;1.2668;16930;12257.75;188.61;0
1;1;12;0.0159;8.548;182.952;333.6484;0;0;0.1143;1.2666;16715.75;12492.5;80.34;0
1;1;13;0.0166;8.274;136.2907;261.2068;0;0;0.17;1.2673;15521.25;12609.5;25.51;35.07
1;1;14;0.018;7.586;59.585;141.2844;0;0;0.202;1.2695;16830.25;12587.25;11.24;40.73
1;1;15;0.017;6.605;3.971;14.6616;0;0;0.2456;1.2728;17128;12709;31.24;43.73
1;1;16;0.0154;6.092;0;0;0;0;0.3233;1.2759;17373.75;13076.25;0;10.27
1;1;17;0.0124;5.817;0;0;0;0;0.4231;1.2786;17958.25;14079.25;23.99;13.22
1;1;18;0.0169;5.607;0;0;0;0;0.4039;1.2809;16991.5;13950.25;11.24;41.06
1;1;19;0.0099;5.401;0;0;0;0;0.3834;1.2827;16288.5;13677.75;50.52;25.98
1;1;20;0.0045;5.178;0;0;0;0;0.2492;1.2841;15655.75;13310.75;78.99;40.66
1;1;21;0.0025;4.924;0;0;0;0;0.1721;1.285;14886;12761.5;0;22.78
1;1;22;0.0039;4.87;0;0;0;0;0.1888;1.2855;14031.25;12222.25;22.94;29.28
1;1;23;0.0087;4.866;0;0;0;0;0.1962;1.286;13121;11521.75;45.33;28.41
2;1;0;0.0095;4.828;0;0;0;0;0.2048;1.2867;12513.5;11056.25;44.45;-20.45
2;1;1;0.0087;4.847;0;0;0;0;0.2194;1.2874;12033.25;10727.25;0;29.53
2;1;2;0.0059;4.831;0;0;0;0;0.2338;1.288;11641.75;10573;0;39.37
2;1;3;0.0035;4.748;0;0;0;0;0.2119;1.2885;11547.25;10511.75;0;38.06
2;1;4;0.0021;4.576;0;0;0;0;0.1871;1.2891;11587.75;10607.5;37.38;36.57
2;1;5;0.0015;4.455;0;0;0;0;0.1665;1.2898;11985.5;11109.25;28.67;41.26
2;1;6;9.00E-04;4.197;0;0;0;0;0.1486;1.291;13315.25;12300;60.97;22.7
2;1;7;7.00E-04;3.894;0.5254;2.4147;0;0;0.1197;1.2924;15301.25;13752.5;24.68;25.66
2;1;8;6.00E-04;4.214;44.3601;105.1628;0;0;0.0986;1.2933;16936.5;15030;47.32;11.53
2;1;9;9.00E-04;5.223;126.5151;236.2862;0;0;0.0848;1.2926;17502.75;15713;103.82;10.46
2;1;10;0.002;6.149;189.1568;321.6858;0;0;0.1548;1.2905;17726;15788;192.82;0
2;1;11;0.006;6.763;214.1784;355.5599;0;0;0.2478;1.2884;17715;15929.25;87.06;0
2;1;12;0.0034;6.864;200.7186;335.5754;0;0;0.1679;1.2877;17572;15857.25;95.13;0
2;1;13;0.0088;6.542;147.5337;263.1279;0;0;0.0717;1.2883;17589;15854;73.93;0
2;1;14;0.0057;5.458;66.8478;143.1159;0;0;0.0943;1.2903;17676.75;15811.5;123.94;0
2;1;15;0.0061;3.507;4.5819;15.3843;0;0;0.1066;1.2931;17778.75;15885.25;82.17;0
2;1;16;0.0085;2.825;0;0;0;0;0.118;1.2955;18002.25;16285.75;73.84;-9.97
2;1;17;0.0107;2.414;0;0;0;0;0.1235;1.2973;18541.5;17158.5;91.85;24.56
2;1;18;0.0066;2.022;0;0;0;0;0.156;1.2985;17427;16290;74.43;0
2;1;19;0.0096;1.768;0;0;0;0;0.2595;1.2994;16670.75;15698.5;102.39;0
2;1;20;0.0127;1.762;0;0;0;0;0.402;1.2999;15998.75;14984.75;37.77;21.73
2;1;21;0.012;1.958;0;0;0;0;0.5262;1.3;15256.25;14206;22.11;20.98
2;1;22;0.0146;2.175;0;0;0;0;0.6014;1.2999;14272;13329;75.67;11.66
2;1;23;0.0181;2.372;0;0;1.00E-04;0;0.6696;1.2997;13390;12557.5;50.7;34.07
3;1;0;0.019;2.501;0;0;1.00E-04;0;0.7534;1.2995;12756.5;11983.25;72.69;-5.75
3;1;1;0.0188;2.518;0;0;2.00E-04;0;0.7102;1.2993;12312;11574.5;24.43;11.21
3;1;2;0.0189;2.485;0;0;4.00E-04;0;0.5985;1.2991;11849.75;11283.75;0;24.34
3;1;3;0.0168;2.52;0;0;3.00E-04;0;0.5485;1.299;11674.75;11175.75;51.08;24.44
3;1;4;0.0154;2.593;0;0;1.00E-04;0;0.5387;1.299;11761.25;11245;11.33;11.99
3;1;5;0.0136;2.598;0;0;1.00E-04;0;0.5158;1.2993;12203.5;11689;52.96;12.47
3;1;6;0.0123;2.53;0;0;1.00E-04;0;0.5026;1.2996;13577.25;12827.5;49.91;22.14
3;1;7;0.0129;2.555;0.4374;2.7139;1.00E-04;0;0.5194;1.3002;15827.75;14330.75;39.01;-33.73
3;1;8;0.0138;3.279;31.926;107.1057;1.00E-04;0;0.5396;1.3006;17708.25;15616.75;62.41;11.47
3;1;9;0.0145;4.457;87.575;238.3297;0;0;0.5326;1.3001;18334.75;16119.75;106.57;0
3;1;10;0.0141;5.214;134.6268;323.7922;0;0;0.5246;1.2981;18311.75;16224;38.04;0
3;1;11;0.014;5.804;161.1317;357.6942;0;0;0.6061;1.2955;18106.75;16145;35.69;0
3;1;12;0.0162;6.029;141.7542;337.6839;0;0;0.761;1.2941;17765.5;15842.75;0;31.93
3;1;13;0.014;5.943;99.2499;265.1893;0;0;0.8335;1.2937;17759.25;15786.5;0;40.49
3;1;14;0.0113;5.328;47.2989;145.1222;0;0;0.8608;1.2943;17970.75;15847;24.95;11.24
3;1;15;0.0088;4.077;3.8126;16.1924;0;0;0.8406;1.2956;18198.25;15957.75;53.07;0
3;1;16;0.006;3.636;0;0;0;0;0.8464;1.2969;18640.75;16306.25;27.3;11.24
3;1;17;0.0053;3.31;0;0;0;0;0.8822;1.2979;19170.5;17139.5;99.06;0
3;1;18;0.0045;3.023;0;0;0;0;0.7168;1.2985;18047;16370.75;102.02;12.85
3;1;19;0.0031;2.62;0;0;0;0;0.5495;1.2987;17278.75;15836.75;39.71;35.75
3;1;20;0.0028;2.203;0;0;0;0;0.7118;1.2985;16566.25;15202;0;35.15
3;1;21;0.0052;2.198;0;0;0;0;0.915;1.2989;15640.75;14343.75;12.31;13.66
3;1;22;0.009;2.426;0;0;1.00E-04;0;0.9552;1.2996;14368.25;13464.75;30.86;26.87
3;1;23;0.0103;2.454;0;0;1.00E-04;0;0.957;1.2999;13432.25;12690.5;23.2;24.08
4;1;0;0.0089;2.425;0;0;3.00E-04;0;0.9714;1.3;12781;12089;64.56;30.87
4;1;1;0.0093;2.428;0;0;0.001;1.00E-04;0.9787;1.3003;12240.25;11658.25;29.52;12.33
4;1;2;0.0114;2.557;0;0;0.0011;1.00E-04;0.9784;1.3006;11913.25;11374.5;45.9;23.3
4;1;3;0.0148;2.692;0;0;0.0011;1.00E-04;0.9601;1.3005;11750.5;11290.75;27.02;33.65
4;1;4;0.0184;2.842;0;0;8.00E-04;1.00E-04;0.9512;1.3002;11782.5;11372.25;46.07;29.71
4;1;5;0.0192;3.033;0;0;6.00E-04;1.00E-04;0.9706;1.2999;12322.5;11827.5;0;-27.07
4;1;6;0.0191;3.217;0;0;5.00E-04;1.00E-04;0.9785;1.2996;13674;12908.5;25.41;41.24
4;1;7;0.0161;3.293;0.2933;3.0596;4.00E-04;0;0.9777;1.2993;15872.25;14353.5;51.45;-7.29
4;1;8;0.0152;3.67;23.7905;109.2059;2.00E-04;0;0.9671;1.2988;17886;15616.75;71.19;6.18
4;1;9;0.0185;4.468;73.5841;240.5166;1.00E-04;0;0.9746;1.2974;18252.5;16309.5;37.61;11.37
4;1;10;0.0228;5.083;109.578;326.0453;0;0;0.9792;1.2951;18847.25;16619.25;74.88;0
4;1;11;0.0267;5.461;114.0731;359.9823;0;0;0.983;1.2927;18554.75;16736;66.63;0
4;1;12;0.0313;5.588;95.3931;340.0053;0;0;0.989;1.291;18162.5;16713.5;87.15;23.57
4;1;13;0.0321;5.526;59.6072;267.438;0;0;0.9914;1.2901;17989;16686.25;131.19;0
4;1;14;0.0365;5.315;24.0314;147.2865;0;0;0.9908;1.2897;17842.75;16516;172.62;10.55
4;1;15;0.043;5.043;1.871;17.0912;0;0;0.9905;1.2898;17730.25;16472.25;75.53;0
4;1;16;0.0491;4.942;0;0;0;0;0.9903;1.2898;17905.75;16731.75;110.59;0
4;1;17;0.0521;4.999;0;0;0;0;0.9902;1.2895;18272;17150.5;56.16;31.82
4;1;18;0.0553;5.101;0;0;0;0;0.9878;1.2888;17216;16332;0;29.62
4;1;19;0.0871;5.186;0;0;1.00E-04;0;0.9846;1.2881;16471.5;15701.25;56.53;10.97
4;1;20;0.1359;5.302;0;0;1.00E-04;0;0.9727;1.2874;15785;14975;33.72;26.22
4;1;21;0.1868;5.389;0;0;0;0;0.9706;1.2864;14962;14115.5;61.07;22.11
4;1;22;0.2162;5.465;0;0;0;0;0.981;1.2853;14080.25;13309.75;35.73;-11.16
4;1;23;0.255;5.614;0;0;0;0;0.9843;1.2841;13295;12701;71.66;31.18
