Receiving-data-rate-in-Kbytes-per-seconds, Transmitting-data-rate-in-Kbytes-per-seconds, Total-received-Kbytes, Total-Transmitted-Kbytes, Total-received-packets, Total-Transmitted-packets, Class
78.66,87.02,974.37,1000,1640,1540,High
94.52,91.51,1800,1870,3240,3040,High
69.89,76.95,2800,2900,5080,4700,High
131.25,156.25,3970,4140,7690,6760,High
106.64,115.82,4840,5070,9810,8400,High
80.09,81.12,5750,6020,11980,10090,High
75.30,81.98,6810,7130,14500,12090,High
115.65,106.10,7720,8060,16650,13780,High
104.12,113.45,8650,9090,18810,15600,High
117.88,112.30,9630,10040,20710,17280,High
119.52,136.25,10640,11120,22710,19160,High
115.78,122.66,11530,12060,24230,20760,High
93.66,110.12,12470,13050,25780,22520,High
126.07,136.25,13430,14060,27430,24300,High
83.31,60.41,14420,15070,29210,26130,High
127.05,146.25,15360,16040,30860,27800,High
86.67,81.65,16340,17080,32590,29580,High
106.41,105.30,17190,17990,34150,31130,High
79.04,84.77,18250,19140,36010,33050,High
82.30,83.00,19280,20210,37790,34850,High
122.26,123.28,20060,21070,39150,36300,High
82.98,87.03,21090,22210,40710,38190,High
79.08,93.59,22080,23200,42090,39880,High
69.65,76.32,22970,24110,43350,41410,High
73.72,61.15,23940,25110,45020,43120,High
87.18,127.05,24880,26120,46600,44850,High
128.75,136.25,25880,27250,48140,46800,High
82.44,87.83,26880,28300,49570,48580,High
66.52,88.25,27730,29230,50880,50140,High
97.53,126.25,28730,30320,52460,51990,High
83.24,111.64,29630,31240,53890,53660,High
106.28,105.44,30630,32320,55550,55500,High
61.77,102.99,31440,33270,56930,57080,High
96.61,92.08,32380,34290,58580,58780,High
83.09,82.29,33340,35280,60270,60280,High
137.05,151.25,34330,36280,61960,61800,High
75.78,71.17,35250,37270,63560,63290,High
124.84,130.00,36250,38310,65210,64850,High
138.75,140.00,37200,39320,66890,66350,High
104.89,107.38,38200,40330,68590,67880,High
77.21,84.29,39270,41410,70430,69560,High
122.18,125.13,40160,42320,71960,71030,High
72.57,87.01,41160,43430,73700,72880,High
96.05,109.17,42070,44360,75170,74430,High
63.07,82.42,42930,45360,76530,76110,High
145.00,147.05,43960,46410,77970,77830,High
57.43,66.81,44890,47380,79280,79270,High
90.47,84.51,45880,48370,80680,80920,High
94.15,69.96,46890,49350,82100,82670,High
91.36,87.86,47760,50340,83640,84450,High
111.00,110.98,48750,51330,85400,86220,High
131.25,127.32,49680,52290,87080,87960,High
127.05,118.05,50650,53270,88810,89740,High
115.09,109.22,51560,54180,90420,91180,High
112.45,122.48,52620,55280,92270,93010,High
90.93,97.48,53520,56190,93760,94610,High
82.85,93.38,54520,57250,95550,96480,High
107.38,101.73,55400,58100,96990,97820,High
94.83,95.74,56300,59000,98620,99280,High
94.23,88.01,57260,59930,100230,100760,High
128.75,128.75,58260,60920,101950,102320,High
91.75,89.68,59200,61840,103510,103800,High
87.46,93.51,60160,62760,105070,105270,High
136.25,127.05,61210,63870,106580,106990,High
146.25,128.75,62120,64760,107860,108350,High
135.00,145.00,63060,65740,109210,109870,High
151.25,157.05,64080,66740,110640,111460,High
79.155,95.71,65040,67720,112000,113080,High
